Username,Description,PullReq,Ratings
vpncn / vpncn.github.io,2020中国翻墙软件VPN推荐指南，以及对比VPS自建、SSR机场、蓝灯、WireGuard、V2ray、老王VPN等科学上网软件与翻墙方法的优缺点，中国最新科学上网翻墙VPN梯子推荐，稳定好用。,753,46 stars this week
jwasham / computer-science-flash-cards,Mini website for testing both general CS knowledge and enforce coding practice and common algorithm/data structure memorization.,"4,891",67 stars this week
iwxf / free-v2ray,每天更新，分享免费V2Ray账号、订阅链接，V2Ray翻墙科学上网教程。,234,50 stars this week
spantaleev / matrix-docker-ansible-deploy,"Matrix (An open network for secure, decentralized communication) server setup using Ansible and Docker",828,11 stars this week
PKUanonym / REKCARC-TSC-UHT,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University","15,311",67 stars this week
fent / node-ytdl-core,YouTube video downloader in javascript.,"1,907",144 stars this week
MonkSoul / Fur,🐮 Fur 是 .NET 5 平台下企业应用开发最佳实践框架。（v1.0.0-rc.final.31）,454,82 stars this week
rfordatascience / tidytuesday,Official repo for the #tidytuesday project,"2,853",31 stars this week
docker / awesome-compose,Awesome Docker Compose samples,"3,793",28 stars this week
aws / eks-charts,Amazon EKS Helm chart repository,271,12 stars this week
sprov065 / v2-ui,支持多协议多用户的 v2ray 面板，Support multi-protocol multi-user v2ray panel,"2,486",42 stars this week
fengdu78 / Coursera-ML-AndrewNg-Notes,吴恩达老师的机器学习课程个人笔记,"19,273",141 stars this week
QSCTech / zju-icicles,浙江大学课程攻略共享计划,"19,239",75 stars this week
nndl / nndl.github.io,《神经网络与深度学习》 邱锡鹏著 Neural Network and Deep Learning,"13,450",75 stars this week
business-science / free_r_tips,Free R-Tips is a FREE Newsletter provided by Business Science. It comes with bite-sized code tutorials every Tuesday.,95,9 stars this week
umelabs / node.umelabs.dev,每天20:00点更新免费SS/SSR节点,266,24 stars this week
easzlab / kubeasz,使用Ansible脚本安装K8S集群，介绍组件交互原理，方便直接，不受国内网络环境影响,"6,156",36 stars this week
prometheus-community / helm-charts,Prometheus community Helm charts,393,37 stars this week
